Booking_Num,Member_ID,Venue,Start_Time,End_Time,,,,
1,100001,Circuit Zandvoort,1/6/2021 0:00,28/6/2021 0:00,,,,
2,100146,xva,11/12/2021 0:00,12/12/2021 8:00,,,,
3,24,Circuit Zandvoort,16/6/2021 15:00,17/6/2021 0:00,,,,
4,100104,Film Hall 6,26/6/2021 20:00,pepe,,,,
5,100230,Beach Tent 4,30/6/2021 18:00,1/7/2021 7:00,,,,
6,100035,Dance Studio 3,jocular,29/6/2021 15:00,,,,
7,100272,Frangipani Hall 102,29/6/2021 0:00,29/6/2021 4:00,,,,
8,100436,River Nitty Platform D,16/6/2021 9:00,16/6/2021 20:00,,,,
9,100452,Blue Fountain,4/6/2021 21:00,5/6/2021 10:00,,,,
10,100351,Beach Tent 5,16/6/2021 4:00,16/6/2021 7:00,,,,
11,100029,Yedova Warehouse 105,26/6/2021 9:00,26/6/2021 18:00,,,,
12,100094,Dance Studio 3,30/6/2021 3:00,30/6/2021 10:00,,,,
13,100312,Rose Ballroom 327,7/6/2021 13:00,7/6/2021 15:00,,,,
14,100277,Angsana Ballroom 324,22/6/2021 0:00,22/6/2021 7:00,,,,
15,100282,Azalea Hall 305,21/6/2021 23:00,22/6/2021 18:00,,,,
16,100487,Angsana Ballroom 317,3/6/2021 8:00,4/6/2021 3:00,,,,
17,100168,Beach Tent 2,11/6/2021 0:00,11/6/2021 3:00,,,,
18,100191,Angsana Ballroom 320,22/6/2021 15:00,23/6/2021 3:00,,,,
19,100363,Film Hall 6,21/6/2021 10:00,21/6/2021 20:00,,,,
20,100098,Azalea Hall 302,6/6/2021 18:00,7/6/2021 15:00,,,,
21,100432,Beach Tent 2,1/6/2021 14:00,2/6/2021 5:00,,,,
22,100298,Rose Ballroom 328,11/6/2021 20:00,12/6/2021 18:00,,,,
23,100170,Dance Studio 2,11/6/2021 9:00,12/6/2021 1:00,,,,
24,100451,Beach Tent 9,21/6/2021 5:00,21/6/2021 13:00,,,,
25,100337,Angsana Ballroom 309,22/6/2021 23:00,23/6/2021 7:00,,,,
26,100314,Stupendor Square,13/6/2021 23:00,14/6/2021 7:00,,,,
27,100013,Yedova Warehouse 102,12/6/2021 23:00,13/6/2021 5:00,,,,
28,100326,Dance Studio 2,25/6/2021 7:00,25/6/2021 9:00,,,,
29,100158,Circuit Tyrannis,3/6/2021 16:00,4/6/2021 13:00,,,,
30,100023,Blue Fountain,4/6/2021 23:00,5/6/2021 1:00,,,,
31,100164,Old Warehouse 2,5/6/2021 11:00,6/6/2021 3:00,,,,
32,100205,Blue Fountain,16/6/2021 22:00,17/6/2021 8:00,,,,
